imdbID,Title,YearSinceRelease,Runtime,AvgDirectorRating,AvgWriterRating,AvgCastRating,imdbRating,Budget,Revenue,budget_norm_E8,revenue_norm_E8,mpaaRating_G,mpaaRating_NC-17,mpaaRating_PG,mpaaRating_PG-13,mpaaRating_R,mpaaRating_UNRATED,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Biography,Genre_Crime,Genre_Drama,Genre_Documentary,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_Western,Genre_Sport,Genre_Music,Genre_Musical,Genre_War,Language_English,Language_Spanish,Language_European,Language_Asian,Language_Arabic,Language_Other,Countrys_English,Countrys_Spanish,Countrys_European,Countrys_Asian,Countrys_Arabic,Countrys_Other
tt0499549,Avatar,7,162,7.8,7.4,6.2,7.9,237000000,2781505847,2.37,27.81505847,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt2488496,Star Wars: Episode VII - The Force Awakens,1,135,7.6,6.8,6.5,8.4,200000000,2059731334,2,20.59731334,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0120338,Titanic,19,194,7.8,7.4,6.4,7.7,200000000,1845034188,2,18.45034188,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
tt0848228,The Avengers,4,143,7.7,7.2,6.7,8.1,220000000,1518594910,2.2,15.1859491,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0369610,Jurassic World,1,124,7.1,6.7,6.3,7.1,150000000,1513528810,1.5,15.1352881,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
tt2820852,Furious 7,1,137,6.9,6.4,6.2,7.3,190000000,1506249360,1.9,15.0624936,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
tt2395427,Avengers: Age of Ultron,1,142,7.7,6.7,6.7,7.6,250000000,1405035767,2.5,14.05035767,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,5,130,7.5,7.6,6.9,8.1,125000000,1327817822,1.25,13.27817822,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt2294629,Frozen,3,102,7.4,6.9,6.4,7.6,150000000,1274219009,1.5,12.74219009,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1300854,Iron Man 3,3,130,7.4,6.9,6.6,7.3,200000000,1215439994,2,12.15439994,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
tt2293640,Minions,1,91,6.9,6,6.2,6.5,74000000,1156730962,0.74,11.56730962,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt1399103,Transformers: Dark of the Moon,5,154,6.6,6,6.3,6.3,195000000,1123746996,1.95,11.23746996,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
tt0167260,The Lord of the Rings: The Return of the King,13,201,7.8,8,8.2,8.9,94000000,1118888979,0.94,11.18888979,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1074638,Skyfall,4,143,7.5,6.7,6.9,7.8,200000000,1108561013,2,11.08561013,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt1345836,The Dark Knight Rises,4,164,8.4,7.8,6.8,8.5,250000000,1081041287,2.5,10.81041287,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
tt0383574,Pirates of the Caribbean: Dead Man's Chest,10,151,6.9,6.8,6.7,7.3,200000000,1065659812,2,10.65659812,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
