bPickedCard,CardNumber,NumChipsOnCard,ScoreDiff,bFitsInSeries,bFitsInSeriesAlmost,NumOwnedChips,NumHighCardsLeft,NumMediumCardsLeft,NumLowCardsLeft
1,14,0,14,0,0,9,6,8,11
0,25,0,-14,0,0,9,5,8,11
0,25,1,14,0,0,9,5,8,11
1,25,0,11,0,0,9,5,8,12
1,3,0,-8,0,0,8,5,8,10
0,32,0,8,0,0,8,5,7,12
0,32,1,-8,0,0,8,5,7,10
0,32,2,8,0,0,8,5,7,11
0,32,3,-8,0,0,8,5,7,9
1,32,0,40,0,0,8,5,7,14
1,5,0,-35,0,0,7,5,7,8
1,4,0,39,0,0,6,5,7,14
0,35,0,-39,0,0,6,5,6,8
1,35,0,74,0,0,6,5,6,15
0,34,0,-74,0,0,6,5,5,7
1,34,0,73,1,1,6,5,5,16
1,19,0,-54,0,0,6,4,5,6
0,16,0,54,0,0,6,3,5,16
1,16,0,-38,0,1,6,3,5,7
1,7,0,45,0,0,5,3,5,15
1,8,0,-37,0,0,4,3,5,7
1,26,0,37,1,1,4,3,4,15
0,24,0,-37,0,0,4,2,4,7
1,24,0,36,1,1,4,2,4,16
1,6,0,-36,1,1,3,2,4,6
1,33,0,2,1,1,3,2,3,16
1,12,0,10,0,1,2,2,3,6
1,31,0,-11,1,1,2,2,2,16
1,17,0,11,1,1,2,1,2,6
0,21,0,-11,0,0,2,0,2,16
1,21,0,32,0,1,2,0,2,7
1,13,0,-19,0,0,1,0,2,15
0,30,0,19,0,0,1,0,1,7
1,30,0,-20,1,1,1,0,1,16
1,9,0,20,1,1,0,0,1,6
0,28,0,-20,0,1,0,0,0,16
0,28,1,20,0,0,0,0,0,6
1,16,0,16,0,0,8,8,7,11
0,26,0,-16,0,0,8,8,6,11
0,26,1,16,0,0,8,8,6,11
0,26,2,-16,0,0,8,8,6,10
0,26,3,16,0,0,8,8,6,10
0,26,4,-16,0,0,8,8,6,9
0,26,5,16,0,0,8,8,6,9
1,26,0,10,0,0,8,8,6,14
0,31,0,-10,0,0,8,8,5,8
0,31,1,10,0,0,8,8,5,14
1,31,0,21,0,0,8,8,5,9
1,19,0,-2,0,0,8,7,5,13
1,32,0,2,1,1,8,7,4,9
1,20,0,-2,0,0,8,6,4,13
1,12,0,14,0,0,7,6,4,9
1,4,0,-10,0,0,6,6,4,13
0,23,0,10,0,0,6,5,4,9
1,23,0,13,0,0,6,5,4,14
1,11,0,-14,1,1,5,5,4,8
1,9,0,23,0,0,4,5,4,14
0,22,0,-23,0,0,4,4,4,8
1,22,0,22,1,1,4,4,4,15
1,35,0,13,0,0,4,4,3,7
1,18,0,-14,1,1,4,3,3,15
1,13,0,14,1,1,3,3,3,7
0,33,0,-14,0,0,3,3,2,15
1,33,0,14,1,1,3,3,2,8
1,8,0,-15,1,1,2,3,2,14
1,34,0,-20,1,1,2,3,1,8
1,17,0,19,1,1,2,2,1,14
0,24,0,-19,0,0,2,1,1,8
1,24,0,19,1,1,2,1,1,15
1,6,0,-13,0,0,1,1,1,7
0,7,0,13,1,1,0,1,1,15
1,7,0,-13,0,0,0,1,1,8
1,21,0,-9,1,1,0,0,1,14
1,5,0,5,0,0,4,9,10,11
0,35,0,-5,0,0,4,9,9,11
0,35,1,5,0,0,4,9,9,11
0,35,2,-5,0,0,4,9,9,10
0,35,3,5,0,0,4,9,9,10
0,35,4,-5,0,0,4,9,9,9
0,35,5,5,0,0,4,9,9,9
1,35,0,30,0,0,4,9,9,14
1,7,0,-23,0,0,3,9,9,8
1,29,0,52,0,0,3,9,8,14
1,10,0,-42,0,0,2,9,8,8
1,33,0,75,0,1,2,9,7,14
1,16,0,-59,0,0,2,8,7,8
0,19,0,59,0,0,2,7,7,14
1,19,0,-40,0,0,2,7,7,9
0,18,0,40,0,0,2,6,7,13
1,18,0,-41,1,1,2,6,7,10
0,21,0,41,0,0,2,5,7,12
1,21,0,-20,0,1,2,5,7,11
0,17,0,20,0,0,2,4,7,11
1,17,0,-38,1,1,2,4,7,12
1,27,0,65,0,1,2,4,6,10
0,26,0,-65,0,0,2,4,5,12
1,26,0,64,1,1,2,4,5,11
0,28,0,-64,0,0,2,4,4,11
1,28,0,35,1,1,2,4,4,12
0,30,0,-35,0,0,2,4,3,10
1,30,0,35,1,1,2,4,3,13
1,20,0,-56,1,1,2,3,3,9
0,12,0,56,0,0,1,3,3,13
1,12,0,-44,0,1,1,3,3,10
0,15,0,44,0,0,1,2,3,12
1,15,0,-45,1,1,1,2,3,11
0,23,0,45,0,0,1,1,3,11
1,23,0,-22,0,1,1,1,3,12
1,31,0,22,1,1,1,1,2,10
0,34,0,-22,0,0,1,1,1,12
1,34,0,-13,1,1,1,1,1,11
1,22,0,-10,1,1,1,0,1,11
0,9,0,10,0,0,0,0,1,11
1,9,0,-11,1,1,0,0,1,12
1,4,0,4,0,0,8,7,8,11
0,22,0,-4,0,0,8,6,8,11
0,22,1,4,0,0,8,6,8,11
1,22,0,18,0,0,8,6,8,12
1,9,0,-9,0,0,7,6,8,10
1,13,0,22,0,0,6,6,8,12
1,17,0,-5,0,0,6,5,8,10
0,30,0,5,0,0,6,5,7,12
0,30,1,-5,0,0,6,5,7,10
1,30,0,35,0,0,6,5,7,13
0,28,0,-35,0,0,6,5,6,9
1,28,0,63,0,1,6,5,6,14
1,11,0,-52,0,1,5,5,6,8
1,31,0,52,1,1,5,5,5,14
1,20,0,-32,0,0,5,4,5,8
1,34,0,66,0,0,5,4,4,14
1,14,0,-52,0,0,4,4,4,8
0,7,0,52,0,0,3,4,4,14
1,7,0,-45,0,1,3,4,4,9
1,21,0,44,1,1,3,3,4,13
1,10,0,-55,1,1,2,3,4,9
0,19,0,55,0,1,2,2,4,13
1,19,0,-56,1,1,2,2,4,10
1,29,0,26,1,1,2,2,3,12
0,24,0,-26,0,0,2,1,3,10
1,24,0,50,0,1,2,1,3,13
0,23,0,-50,0,0,2,0,3,9
1,23,0,26,1,1,2,0,3,14
0,33,0,-26,0,0,2,0,2,8
1,33,0,25,1,1,2,0,2,15
1,8,0,-34,1,1,1,0,2,7
1,32,0,1,1,1,1,0,1,15
1,5,0,-1,0,1,0,0,1,7
1,23,0,23,0,0,8,7,8,11
1,15,0,-8,0,0,8,6,8,11
1,5,0,13,0,0,7,6,8,11
1,13,0,0,0,1,6,6,8,11
1,25,0,25,0,1,6,5,8,11
1,35,0,10,0,0,6,5,7,11
1,17,0,7,0,0,6,4,7,11
1,28,0,21,0,0,6,4,6,11
1,32,0,11,0,0,6,4,5,11
1,12,0,-12,1,1,5,4,5,11
1,31,0,11,1,1,5,4,4,11
1,27,0,-12,1,1,5,4,3,11
1,24,0,-13,1,1,5,3,3,11
1,21,0,34,0,0,5,2,3,11
1,30,0,-35,1,1,5,2,2,11
1,3,0,38,0,0,4,2,2,11
1,9,0,-29,0,0,3,2,2,11
1,14,0,14,1,1,2,2,2,11
1,29,0,-15,1,1,2,2,1,11
1,33,0,48,0,1,2,2,0,11
1,22,0,-49,1,1,2,1,0,11
1,20,0,48,1,1,2,0,0,11
1,4,0,-49,1,1,1,0,0,11
1,31,0,31,0,0,8,10,5,11
1,11,0,-20,0,0,7,10,5,11
1,33,0,53,0,0,7,10,4,11
1,5,0,-48,0,0,6,10,4,11
1,14,0,62,0,0,5,10,4,11
1,18,0,-44,0,0,5,9,4,11
1,24,0,68,0,0,5,8,4,11
1,21,0,-47,0,0,5,7,4,11
1,22,0,69,0,1,5,6,4,11
1,25,0,-44,0,0,5,5,4,11
1,34,0,44,1,1,5,5,3,11
1,13,0,-31,0,1,4,5,3,11
1,12,0,43,0,1,3,5,3,11
1,20,0,-44,1,1,3,4,3,11
1,15,0,44,1,1,3,3,3,11
1,23,0,-21,0,1,3,2,3,11
1,26,0,47,0,1,3,2,2,11
1,17,0,-48,1,1,3,1,2,11
1,16,0,48,1,1,3,0,2,11
1,3,0,-45,0,1,2,0,2,11
1,8,0,53,0,0,1,0,2,11
1,4,0,-58,1,1,0,0,2,11
1,35,0,58,1,1,0,0,1,11
1,13,0,13,0,0,7,7,9,11
1,23,0,10,0,0,7,6,9,11
1,3,0,-7,0,0,6,6,9,11
1,8,0,15,0,0,5,6,9,11
1,28,0,13,0,0,5,6,8,11
1,7,0,-14,1,1,4,6,8,11
1,4,0,14,0,0,3,6,8,11
1,31,0,17,0,0,3,6,7,11
1,32,0,15,0,0,3,6,6,11
1,35,0,20,0,0,3,6,5,11
1,16,0,-4,0,0,3,5,5,11
1,24,0,4,1,1,3,4,5,11
1,27,0,-5,1,1,3,4,4,11
1,6,0,4,1,1,2,4,4,11
1,34,0,30,0,1,2,4,3,11
1,20,0,-10,0,0,2,3,3,11
1,18,0,28,0,1,2,2,3,11
1,10,0,-18,0,1,1,2,3,11
1,33,0,-16,1,1,1,2,2,11
1,17,0,33,0,0,1,1,2,11
1,30,0,-3,0,1,1,1,1,11
1,29,0,32,0,1,1,1,0,11
1,21,0,-11,0,0,1,0,0,11
1,28,0,28,0,0,6,9,8,11
1,22,0,-6,0,0,6,8,8,11
1,26,0,32,0,1,6,8,7,11
1,18,0,-14,0,0,6,7,7,11
1,17,0,31,0,0,6,6,7,11
1,6,0,-25,0,0,5,6,7,11
1,14,0,39,0,0,4,6,7,11
1,21,0,-40,1,1,4,5,7,11
1,7,0,47,0,0,3,5,7,11
1,3,0,-44,0,0,2,5,7,11
1,11,0,55,0,0,1,5,7,11
1,33,0,-22,0,0,1,5,6,11
1,15,0,22,1,1,1,4,6,11
1,27,0,5,0,0,1,4,5,11
1,31,0,26,0,0,1,4,4,11
1,35,0,9,0,1,1,4,3,11
1,23,0,14,0,0,1,3,3,11
1,30,0,16,0,0,1,3,2,11
1,24,0,-16,1,1,1,2,2,11
1,19,0,16,1,1,1,1,2,11
1,29,0,-16,1,1,1,1,1,11
1,4,0,16,0,1,0,1,1,11
1,16,0,-33,1,1,0,0,1,11
1,29,0,29,0,0,9,7,7,11
1,3,0,-26,0,0,8,7,7,11
1,4,0,30,0,0,7,7,7,11
1,15,0,-15,0,0,7,6,7,11
1,19,0,34,0,0,7,5,7,11
1,6,0,-28,0,0,6,5,7,11
1,12,0,40,0,0,5,5,7,11
1,8,0,-32,0,1,4,5,7,11
1,20,0,32,1,1,4,4,7,11
1,18,0,-14,0,0,4,3,7,11
1,16,0,30,0,0,4,2,7,11
1,13,0,-17,0,1,3,2,7,11
1,30,0,17,1,1,3,2,6,11
1,28,0,11,0,0,3,2,5,11
